StreetName,StreetNumber,PostalCode,BusinessID,UnitNumber
Redwood Street,86,T0Z 2A5,1
Elm Street,158,V4C 5E4,3
Redwood Street,75,H3G 8R1,4
Alder Street,182,V4T 6R3,4
Birch Street,48,L2K 6X7,3
Fir Street,30,N6T 0G7
Alder Street,149,V9N 9G5,2
Cedar Street,2,G6R 9E2,4
Birch Street,191,K0M 5V8,2,7
Elm Street,100,S7V 1E7,1
Cedar Street,931,N4J 8J7,7
Granite Street,456,N4J 8J7,6
Grover Street,122,N4X 8J7,2
Hill Street,134,N3J 8J7,4,999
Sesame Street,138,N1J 8J7,6
Oak Street,111,N6J 8J7,4
Pine Street,166,N9J 8J7,11
Tuxedo Street,796,N8J 8J7,12,321
Willow Street,443,S8G 1N4,15
Spooky Street,961,Y7J 8G9,17
Finch Street,334,Y7J 8J7,5
